Year,Month,Mkt-RF,SMB,HML,RF
1954,December,5.49,2.18,5.68,0.08
1955,January,0.6,0.24,2.1,0.08
1955,February,3.02,1.55,0.61,0.09
1955,March,-0.15,-0.65,1.93,0.1
1955,April,3.11,-1.75,0.75,0.1
1955,May,0.94,-0.25,-0.96,0.14
1955,June,6.55,-4.61,1.85,0.1
1955,July,1.89,-1.2,0.39,0.1
1955,August,0.22,-0.46,0.75,0.16
1955,September,-0.37,0.3,-1.01,0.16
1955,October,-2.67,1.46,-0.11,0.18
1955,November,7.04,-2.2,0.33,0.17
1955,December,1.49,1.98,-2.11,0.18
1956,January,-3.03,0.5,0.82,0.22
1956,February,3.78,-0.97,-0.46,0.19
1956,March,6.64,-2.13,-0.49,0.15
1956,April,0.28,-0.03,-0.16,0.19
1956,May,-5.22,1.5,-1.32,0.23
1956,June,3.47,-1.53,-1.1,0.2
1956,July,4.84,-1.69,-0.07,0.22
1956,August,-3.19,1.89,-0.73,0.17
1956,September,-5.14,1.6,1.75,0.18
1956,October,0.52,-0.12,-0.07,0.25
1956,November,0.35,-0.21,1.76,0.2
1956,December,3.16,-0.02,-2.15,0.24
1957,January,-3.57,3.38,2.83,0.27
1957,February,-2.07,-0.75,-0.66,0.24
1957,March,2.13,0.33,-0.53,0.23
1957,April,4.26,-1.57,-1.47,0.25
1957,May,3.46,-1.08,-2.01,0.26
1957,June,-0.75,0.59,-0.03,0.24
1957,July,0.66,-0.8,0.48,0.3
1957,August,-5.12,0.06,-0.45,0.25
1957,September,-5.99,0.06,0.95,0.26
1957,October,-4.32,-2.46,-1.88,0.29
1957,November,2.31,0.4,-2.91,0.28
1957,December,-3.9,-0.91,-1.76,0.24
1958,January,4.65,4.29,4.34,0.28
1958,February,-1.53,0.75,0.23,0.12
1958,March,3.27,0.69,-1.03,0.09
1958,April,3.09,-0.69,1.64,0.08
1958,May,2.32,2.16,-0.2,0.11
1958,June,2.93,-0.14,0.31,0.03
1958,July,4.39,0.47,3.07,0.07
1958,August,1.9,1.15,0.33,0.04
1958,September,4.66,0.08,2.8,0.19
1958,October,2.53,1.05,-1.13,0.18
1958,November,3.01,2.05,-1.17,0.11
1958,December,5.16,-2.02,0.06,0.22
1959,January,0.71,3.02,2.92,0.21
1959,February,0.95,1.48,1.15,0.19
1959,March,0.28,1.45,-0.34,0.22
1959,April,3.66,-0.68,-1.24,0.2
1959,May,1.73,-2.1,1.8,0.22
1959,June,-0.24,0.67,1.32,0.24
1959,July,3.18,-0.35,0.27,0.25
1959,August,-1.38,-0.78,0.44,0.19
1959,September,-4.81,-0.15,0.53,0.31
1959,October,1.28,1.52,-2.1,0.3
1959,November,1.6,1.26,-3.22,0.26
1959,December,2.46,-0.63,-0.01,0.34
1960,January,-6.98,2.12,2.65,0.33
1960,February,1.16,0.6,-1.97,0.29
1960,March,-1.63,-0.55,-2.75,0.35
