Year,Month,M1B1,M1B2,M1B3,M2B1,M2B2,M2B3
1943,July,-5.1277,-6.7909,-8.9051,-4.7679,-3.6771,-5.4549
1943,August,0.3461,0.0382,0.7072,1.5066,1.3008,0.2128
1943,September,2.9559,3.0689,5.4039,2.2011,2.7425,2.591
1943,October,-0.7022,-0.3307,0.825,-1.4437,-0.9562,0.3929
1943,November,-7.067,-7.9847,-10.4323,-4.7715,-6.6076,-9.3915
1943,December,7.2611,10.6602,11.4105,5.7228,6.9515,7.3717
1944,January,4.9585,4.6723,5.4614,0.7827,1.6214,4.8693
1944,February,1.3605,0.9574,0.7064,0.0547,0.789,2.4061
1944,March,2.0084,3.6982,7.4552,2.2054,2.5657,3.4509
1944,April,-1.989,-2.8702,-3.9171,-1.3979,-1.8764,-1.5816
1944,May,5.819,7.2524,7.0596,4.6226,5.0258,5.4497
1944,June,9.4222,9.7507,10.7165,4.9468,5.1983,7.4249
1944,July,0.2066,-1.0253,-1.4416,-1.661,-1.4813,-0.8528
1944,August,4.573,4.3706,1.9162,1.3611,1.2525,1.1378
1944,September,1.5879,-0.061,-0.2286,0.3377,-0.252,-0.2382
1944,October,0.1856,0.5492,-0.5164,-0.0662,0.8398,-0.087
1944,November,0.9604,2.9643,3.7232,1.1655,2.2605,3.1652
1944,December,6.0185,6.9037,10.5409,2.5205,4.5209,9.742
1945,January,5.4093,5.0069,4.1166,0.7429,3.038,3.4039
1945,February,6.6638,8.7848,10.7095,5.1535,6.155,9.9773
1945,March,-4.6907,-6.3369,-6.2843,-3.2049,-4.3822,-4.7571
1945,April,7.9296,9.0881,10.0659,6.7617,8.032,10.8404
1945,May,2.8195,2.214,4.0736,2.0171,1.0507,1.4366
1945,June,3.0388,2.5204,6.8558,-1.2107,0.7128,3.5046
1945,July,-3.062,-3.5636,-5.4586,-1.4279,-1.8197,-4.4963
1945,August,7.7805,7.8394,4.9048,8.6172,4.4106,2.6993
1945,September,6.6887,6.7832,6.4483,4.5624,4.4044,5.7316
1945,October,6.0465,6.6566,7.2211,2.3634,4.9966,5.4782
1945,November,9.3466,9.7554,11.5432,2.8851,5.8263,9.3854
1945,December,4.157,3.1176,1.6275,1.7715,1.1301,-0.4898
1946,January,9.58,8.8686,12.3686,6.0922,4.9246,7.8636
1946,February,-6.2379,-6.7445,-7.2977,-5.8929,-4.9578,-7.3809
1946,March,6.527,5.9434,5.8097,5.1724,7.0368,5.1563
1946,April,4.3681,7.9173,6.3892,3.7607,5.1605,2.6499
1946,May,6.7436,5.1192,5.7632,3.1905,3.6146,6.3692
1946,June,-4.6967,-5.1542,-6.0013,-4.4173,-2.6192,-4.1657
1946,July,-4.8254,-3.3704,-5.0492,-2.7272,-2.385,-2.405
1946,August,-8.5074,-8.3319,-7.3792,-6.346,-6.2171,-6.2692
1946,September,-13.9771,-13.5424,-15.86,-9.7824,-8.4836,-11.8352
1946,October,-3.1806,-0.8271,0.7456,-2.5005,-1.7424,0.4682
1946,November,-1.5773,-0.6057,1.412,-0.2302,0.7433,-0.1681
1946,December,5.7141,4.5301,4.2294,5.2864,5.2391,3.9581
1947,January,4.5316,2.472,3.2543,2.1742,-0.489,1.9776
1947,February,-1.2764,-0.5775,0.8545,0.0512,-1.339,-1.7978
1947,March,-3.3614,-3.4124,-2.3887,-1.7947,-1.0148,-1.5455
1947,April,-9.3474,-7.9568,-8.1115,-5.1354,-3.6808,-4.6801
1947,May,-5.2168,-3.993,-3.6018,-1.108,0.1931,-2.073
1947,June,4.327,5.2885,4.9714,6.4627,4.5842,4.533
1947,July,5.2348,6.415,7.0361,3.5326,3.4834,7.2605
1947,August,-1.8599,-1.5161,-1.1958,-1.8535,-1.454,-2.2447
1947,September,0.4057,0.3262,2.6266,-0.6802,-0.6544,-0.1748
1947,October,3.538,3.32,2.9493,2.234,2.9732,3.0514
1947,November,-4.4789,-3.3645,-2.6336,-2.0979,-1.5045,-1.7997
1947,December,0.1741,1.4258,3.0711,2.0131,3.4833,6.5953
1948,January,-1.7516,-2.4568,-0.1732,-4.5551,-4.0164,-3.3686
1948,February,-5.9922,-6.3452,-5.8434,-4.6697,-3.6891,-4.718
1948,March,6.4489,8.3456,12.2751,7.8751,7.7329,11.0961
1948,April,1.2901,2.8521,4.6936,2.2742,4.3714,7.1082
1948,May,9.3487,8.652,7.484,8.5319,6.4887,7.8488
1948,June,-2.8715,-1.5719,0.4793,-0.6267,0.314,1.7024
1948,July,-5.054,-5.273,-5.4885,-5.0143,-5.308,-4.3639
1948,August,-1.2218,-0.5946,-0.3453,0.8772,-0.2083,0.5727
1948,September,-2.993,-4.2361,-5.5319,-2.744,-2.4533,-3.748
1948,October,4.0663,4.6534,5.3933,6.433,5.8477,6.2679
1948,November,-9.7141,-9.7693,-12.9649,-8.3959,-8.7626,-13.4466
1948,December,1.3549,-0.0168,0.1041,4.9416,2.7548,2.2911
